Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95521791000,0,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0.950,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95724667000,0,0,0.830,5,0.000,0,0.000,0,0.000,0,0.000,0,0.930,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95734417000,0,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0.950,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95757666000,0,0,0.830,5,0.000,0,0.000,0,0.000,0,0.000,0,0.930,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95757791000,0,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0.950,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95832541000,0,0,0.830,5,0.000,0,0.000,0,0.000,0,0.000,0,0.930,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95832917000,0,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0.950,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95844666000,0,0,0.830,5,0.000,0,0.000,0,0.000,0,0.000,0,0.930,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95855541000,0,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0.950,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95856166000,0,0,0.830,5,0.000,0,0.000,0,0.000,0,0.000,0,0.930,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95938791000,0,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0.950,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95943541000,0,0,0.830,5,0.000,0,0.000,0,0.000,0,0.000,0,0.930,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95943918000,0,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0.950,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95944792000,0,0,0.830,5,0.000,0,0.000,0,0.000,0,0.000,0,0.930,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95947917000,0,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0.950,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95958292000,0,0,0.830,5,0.000,0,0.000,0,0.000,0,0.000,0,0.930,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100000917000,0,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0.950,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100019666000,0,0,0.830,5,0.000,0,0.000,0,0.000,0,0.000,0,0.930,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100019916000,0,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0.950,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100036417000,0,0,0.870,5,0.000,0,0.000,0,0.000,0,0.000,0,0.970,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100055666000,0,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0.950,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100055791000,0,0,0.830,5,0.000,0,0.000,0,0.000,0,0.000,0,0.930,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100101542000,0,0,0.870,5,0.000,0,0.000,0,0.000,0,0.000,0,0.970,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100131791000,0,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0.950,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100132166000,0,0,0.830,5,0.000,0,0.000,0,0.000,0,0.000,0,0.930,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
