Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95056167000,0,0,8.700,5,0.000,0,0.000,0,0.000,0,0.000,0,9.100,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95502417000,0,0,8.650,5,0.000,0,0.000,0,0.000,0,0.000,0,9.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95952917000,0,0,8.750,5,0.000,0,0.000,0,0.000,0,0.000,0,9.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100302167000,0,0,8.700,5,0.000,0,0.000,0,0.000,0,0.000,0,9.100,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100459917000,0,0,8.750,5,0.000,0,0.000,0,0.000,0,0.000,0,9.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100516042000,0,0,8.700,5,0.000,0,0.000,0,0.000,0,0.000,0,9.100,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100822043000,0,0,8.750,5,0.000,0,0.000,0,0.000,0,0.000,0,9.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100826916000,0,0,8.800,5,0.000,0,0.000,0,0.000,0,0.000,0,9.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100852916000,0,0,8.750,5,0.000,0,0.000,0,0.000,0,0.000,0,9.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101223416000,0,0,8.700,5,0.000,0,0.000,0,0.000,0,0.000,0,9.100,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101355417000,0,0,8.750,5,0.000,0,0.000,0,0.000,0,0.000,0,9.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101413292000,0,0,8.800,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101423667000,0,0,8.750,5,0.000,0,0.000,0,0.000,0,0.000,0,9.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101441667000,0,0,8.800,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101510416000,0,0,8.750,5,0.000,0,0.000,0,0.000,0,0.000,0,9.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101842541000,0,0,8.700,5,0.000,0,0.000,0,0.000,0,0.000,0,9.100,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101850792000,0,0,8.750,5,0.000,0,0.000,0,0.000,0,0.000,0,9.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101902791000,0,0,8.800,5,0.000,0,0.000,0,0.000,0,0.000,0,9.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102035542000,0,0,8.850,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102206541000,0,0,8.900,5,0.000,0,0.000,0,0.000,0,0.000,0,9.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102313792000,0,0,8.850,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102315417000,0,0,8.900,5,0.000,0,0.000,0,0.000,0,0.000,0,9.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102321917000,0,0,8.850,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102339042000,0,0,8.900,5,0.000,0,0.000,0,0.000,0,0.000,0,9.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102345416000,0,0,8.850,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102431417000,0,0,8.800,5,0.000,0,0.000,0,0.000,0,0.000,0,9.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102439792000,0,0,8.750,5,0.000,0,0.000,0,0.000,0,0.000,0,9.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102455418000,0,0,8.700,5,0.000,0,0.000,0,0.000,0,0.000,0,9.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102519541000,0,0,8.800,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102538292000,0,0,8.700,5,0.000,0,0.000,0,0.000,0,0.000,0,9.100,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102612543000,0,0,8.600,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102639916000,0,0,8.700,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102707166000,0,0,8.700,5,0.000,0,0.000,0,0.000,0,0.000,0,9.350,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102728292000,0,0,8.700,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102836292000,0,0,8.800,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102843042000,0,0,8.700,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102857791000,0,0,8.800,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102927168000,0,0,8.900,5,0.000,0,0.000,0,0.000,0,0.000,0,9.350,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103132168000,0,0,8.800,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103135042000,0,0,8.900,5,0.000,0,0.000,0,0.000,0,0.000,0,9.350,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103143042000,0,0,8.800,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103155916000,0,0,8.700,5,0.000,0,0.000,0,0.000,0,0.000,0,9.100,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103304042000,0,0,8.800,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103600667000,0,0,8.900,5,0.000,0,0.000,0,0.000,0,0.000,0,9.350,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103732291000,0,0,8.850,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103829418000,0,0,8.900,5,0.000,0,0.000,0,0.000,0,0.000,0,9.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103837917000,0,0,8.850,5,0.000,0,0.000,0,0.000,0,0.000,0,9.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103844541000,0,0,8.900,5,0.000,0,0.000,0,0.000,0,0.000,0,9.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104214668000,0,0,8.950,5,0.000,0,0.000,0,0.000,0,0.000,0,9.350,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104226417000,0,0,8.900,5,0.000,0,0.000,0,0.000,0,0.000,0,9.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104442043000,0,0,8.950,5,0.000,0,0.000,0,0.000,0,0.000,0,9.350,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104503293000,0,0,9.000,5,0.000,0,0.000,0,0.000,0,0.000,0,9.450,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104508669000,0,0,9.100,5,0.000,0,0.000,0,0.000,0,0.000,0,9.550,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
