Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
100135167000,0,0,15.400,5,0.000,0,0.000,0,0.000,0,0.000,0,17.800,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100308042000,0,0,15.400,5,0.000,0,0.000,0,0.000,0,0.000,0,17.400,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100313668000,0,0,15.400,5,0.000,0,0.000,0,0.000,0,0.000,0,17.800,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100324793000,0,0,15.400,5,0.000,0,0.000,0,0.000,0,0.000,0,17.400,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100501292000,0,0,15.100,5,0.000,0,0.000,0,0.000,0,0.000,0,17.400,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100501544000,0,0,15.100,5,0.000,0,0.000,0,0.000,0,0.000,0,17.000,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100506418000,0,0,15.100,5,0.000,0,0.000,0,0.000,0,0.000,0,17.400,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100512043000,0,0,15.100,5,0.000,0,0.000,0,0.000,0,0.000,0,17.000,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100535291000,0,0,15.100,5,0.000,0,0.000,0,0.000,0,0.000,0,17.400,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100537541000,0,0,15.100,5,0.000,0,0.000,0,0.000,0,0.000,0,17.000,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100633792000,0,0,15.100,5,0.000,0,0.000,0,0.000,0,0.000,0,17.400,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100736292000,0,0,15.400,5,0.000,0,0.000,0,0.000,0,0.000,0,17.400,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100810416000,0,0,15.100,5,0.000,0,0.000,0,0.000,0,0.000,0,17.400,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100830666000,0,0,15.100,5,0.000,0,0.000,0,0.000,0,0.000,0,17.000,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100926292000,0,0,15.100,5,0.000,0,0.000,0,0.000,0,0.000,0,17.400,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100953418000,0,0,15.100,5,0.000,0,0.000,0,0.000,0,0.000,0,17.000,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101004416000,0,0,15.100,5,0.000,0,0.000,0,0.000,0,0.000,0,17.400,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
